GS_A_ID,GS_A_SIZE,GS_B_ID,GS_B_SIZE,OLAP,SIMILARITY,PVALUE
WAG002889,72,WAG002290,85,49,.4990740740740741,270.3252629850096
WAG002889,72,WAG002291,234,50,.2951388888888889,214.59499571798733
WAG002889,72,WAG002513,366,56,.2728330424665503,224.5349811029398
WAG002889,72,WAG002057,127,52,.4274376417233561,264.6676556682895
WAG002889,72,WAG002068,181,52,.3514096185737977,242.1800708246399
WAG002889,72,WAG002767,97,48,.4506887052341598,253.80803456441345
WAG002153,32,WAG002139,55,10,.1663961038961039,47.573118664850476
WAG002153,32,WAG002143,76,12,.17500000000000004,55.425007227908964
WAG002585,64,WAG002719,41,19,.26942711287578003,96.74703707859786
WAG002769,88,WAG002030,120,25,.1661077993045206,94.8432718939922
WAG002769,88,WAG003147,39,18,.2244177840508116,84.97401802584041
WAG002544,43,WAG002672,54,17,.2490697674418605,86.31239025243889
WAG002769,88,WAG002889,72,52,.5296296296296297,290.8640680743506
WAG002769,88,WAG002717,135,49,.3366509926854755,224.91980259088868
WAG002769,88,WAG002310,127,53,.3821829405162739,254.43789867867432
WAG002622,17,WAG003054,60,7,.1623529411764706,35.15443151441485
WAG002611,12,WAG003305,103,8,.1931464174454829,40.79206352293829
WAG002611,12,WAG002145,42,7,.2358156028368795,41.006655902255545
WAG002611,12,WAG002596,246,11,.21896086369770584,52.39384663979239
WAG002611,12,WAG003005,152,9,.1964516129032258,43.90298594560284
WAG002610,27,WAG002282,48,15,.3111111111111111,84.81608334185586
WAG002478,32,WAG002940,22,6,.15454545454545454,31.33436318511443
WAG002769,88,WAG002309,225,76,.4292673571154584,365.73878434768056
WAG002833,15,WAG002309,225,15,.2533333333333333,76.3309015975683
WAG002312,35,WAG002441,31,14,.3057071960297767,80.48069424734256
WAG002312,35,WAG001996,145,26,.2836363636363637,127.24295956692526
WAG002963,48,WAG002393,199,21,.1618362831858407,79.26601140043408
WAG002579,44,WAG002212,88,17,.1955335968379447,76.37814179085262
WAG002611,12,WAG002949,33,8,.3063063063063063,50.53240568281024
WAG002871,37,WAG002819,73,12,.16282404853833427,53.85041858746877
WAG002473,65,WAG002290,85,49,.5388880426504189,279.01910544952284
WAG002473,65,WAG002291,234,49,.3075692307692308,217.23705913030471
WAG002473,65,WAG002310,127,49,.4248951048951049,252.45328172287574
WAG003273,26,WAG002158,47,12,.24968474148802025,64.9408737734451
WAG002473,65,WAG002023,289,49,.27929382093316524,205.8220350510969
WAG003273,26,WAG002162,110,11,.1550153846153846,48.197289547666166
WAG002365,49,WAG002837,72,15,.17443203696572968,66.48210153629054
WAG002365,49,WAG002238,23,8,.16956521739130434,40.16807364536501
WAG002365,49,WAG002172,66,13,.1550220088035214,56.70875136294678
WAG002133,485,WAG002131,333,306,.6619087837837838,1347.1736047669244
WAG002221,106,WAG002153,32,12,.1511904761904762,51.18015567985242
WAG002221,106,WAG003274,54,23,.2194917545282509,101.64585067211785
WAG002221,106,WAG002393,199,37,.18025908194874685,129.47330344936745
WAG002125,157,WAG002819,73,25,.1660541262946876,93.02320668886688
WAG002125,157,WAG002161,83,26,.15984686409188156,94.00078077798024
WAG002162,110,WAG003049,84,22,.15470653377630122,83.41394821372795
WAG002162,110,WAG002392,59,19,.1657401129943503,76.55702272431245
WAG002162,110,WAG002879,163,33,.17,116.5674965595092
WAG002162,110,WAG002185,65,24,.20099847172694854,100.82405436295345
WAG002162,110,WAG002143,76,23,.1734097513722958,91.0884876197789
WAG002162,110,WAG003273,26,11,.1550153846153846,48.19728954764184
WAG002876,215,WAG002483,185,54,.18323386970785813,174.42066802801082
WAG003047,182,WAG002483,185,68,.2566650740563784,254.19384146946823
WAG003047,182,WAG002783,185,68,.2566650740563784,254.19384146946823
WAG003047,182,WAG002965,104,62,.3406593406593407,270.97070703421423
WAG003212,430,WAG003049,84,47,.1924186805343122,155.03594788513578
WAG003212,430,WAG002596,246,86,.18652886867851728,233.5293784368082
WAG003212,430,WAG002645,132,62,.19313939393939394,190.1042208895126
WAG003212,430,WAG002161,83,44,.18107740128959335,141.7514860987981
WAG002068,181,WAG002204,136,53,.2385472370766489,200.02986778125432
WAG002483,185,WAG002876,215,54,.18323386970785813,174.4206680280017
WAG002087,235,WAG002582,42,26,.20667804970593814,106.03792717824093
WAG002628,438,WAG002172,66,34,.16090264345583494,107.56788641982806
WAG002628,438,WAG002185,65,34,.16261112022306054,108.28029155213244
WAG002067,148,WAG002068,181,73,.32677364864864866,302.3391581478038
WAG002393,199,WAG003280,92,46,.25020408163265306,182.81676734922385
WAG002393,199,WAG002208,40,22,.19110599078341015,89.79310008001539
WAG002393,199,WAG002656,164,41,.1518633540372671,127.74968408343227
WAG002393,199,WAG002659,303,96,.28564497363665625,339.38900383369565
WAG002393,199,WAG003224,153,48,.1890608875129,162.73196560431532
WAG002131,333,WAG002133,485,306,.6619087837837838,1347.1736047668965
WAG002513,366,WAG002321,85,53,.2312385456695241,192.56905991894652
WAG002513,366,WAG002769,88,70,.30492424242424243,284.75576599077203
WAG002513,366,WAG002105,120,69,.24737410071942445,243.3753928536487
WAG002879,163,WAG002063,103,29,.1542009749703003,100.14067010875307
WAG002879,163,WAG002409,68,27,.18529411764705886,104.30997057279842
WAG002879,163,WAG002161,83,31,.19004763239002526,117.55472770395555
WAG002879,163,WAG002824,184,40,.15331428228852342,127.19020849720256
WAG002221,106,WAG003280,92,34,.23976670201484626,145.44639855765718
WAG002221,106,WAG002683,29,18,.24721485411140584,88.77004296862144
WAG002221,106,WAG002672,54,30,.2957264957264957,144.00410144240027
WAG002221,106,WAG002656,164,31,.1622562564143049,108.28031467527501
WAG003001,96,WAG002139,55,16,.15299663299663302,64.92650472186364
WAG003001,96,WAG003008,68,26,.22719522591645355,114.5147378746264
WAG003247,263,WAG002840,155,64,.22721341352287225,220.15591671364476
WAG003247,263,WAG002607,19,12,.1618713450292398,48.28804027380011
WAG003247,263,WAG002889,72,34,.18480989294942785,121.66831306559118
WAG003247,263,WAG002932,85,33,.16145658263305326,109.804817080661
WAG002068,181,WAG002717,135,51,.22951781970649895,190.24402445068532
WAG002068,181,WAG002419,101,56,.3091211776044861,238.16526477863798
WAG002087,235,WAG002070,28,15,.15552995391705068,58.30077489088626
WAG002087,235,WAG002923,31,26,.2544086021505376,119.7679327163902
